budget,company,country,genre,gross,rating,runtime,score,votes,year
0,TriStar Pictures,USA,Drama,463972,R,124,5.4,773,1989
0,Columbia Pictures Industries,UK,Drama,1029822,R,92,5.7,261,1989
26000000,Columbia Pictures Industries,USA,Drama,61490000,R,115,6.6,67242,1990
25000000,Warner Bros.,USA,Crime,46836394,R,146,8.7,802599,1990
20000000,Castle Rock Entertainment,USA,Crime,61276872,R,107,7.8,147278,1990
14000000,Touchstone Pictures,USA,Comedy,178406268,R,119,7,233319,1990
20000000,Walt Disney Pictures,USA,Drama,56362352,PG-13,105,7.9,384404,1990
13000000,Universal Pictures,USA,Horror,28501605,R,84,5.8,34608,1990
11000000,Universal Pictures,USA,Comedy,16667084,PG-13,96,7.1,98220,1990
25000000,Warner Bros.,USA,Comedy,39404261,PG,102,5.7,29752,1990
70000000,Walt Disney Pictures,USA,Action,117540947,R,124,7.1,288815,1990
47000000,Touchstone Pictures,USA,Action,103738726,PG,105,6.1,50318,1990
0,Columbia Pictures Industries,USA,Biography,52096475,PG-13,121,7.8,101286,1990
0,Castle Rock Entertainment,USA,Adventure,13985225,R,90,6.4,23976,1990
10000000,Universal Pictures,USA,Comedy,53470900,PG,81,5.3,24008,1990
11000000,Universal Pictures,USA,Comedy,8266343,PG-13,85,6.5,47001,1990
40000000,Universal Pictures,USA,Adventure,87727583,PG,118,7.4,316774,1990
36000000,Warner Bros.,USA,Adventure,17373527,PG,90,5.1,19726,1990
40000000,Walt Disney Pictures,USA,Action,21413502,R,104,6.3,15191,1990
22000000,Warner Bros.,USA,Mystery,86303188,R,127,6.9,31512,1990
50000000,Warner Bros.,USA,Comedy,41482207,PG-13,106,6.3,75271,1990
0,TriStar Pictures,USA,Comedy,47489074,PG-13,81,4.5,38981,1990
10000000,Warner Bros.,USA,Action,47410000,R,96,5.7,23411,1990
0,Universal Pictures,USA,Biography,11567449,NC-17,136,6.3,10779,1990
0,New Line Cinema,Canada,Comedy,11541758,R,102,7.2,22643,1990
10000000,Warner Bros.,USA,Action,21633874,R,120,5.8,21622,1990
47000000,Warner Bros.,USA,Comedy,15691192,R,125,5.5,18886,1990
12000000,Warner Bros.,Japan,Drama,1963207,PG,119,7.8,19625,1990
0,Universal Pictures,USA,Drama,17487531,R,103,6.5,6227,1990
20000000,Universal Pictures,USA,Action,70980000,PG-13,110,5.9,33453,1990
0,Touchstone Pictures,USA,Comedy,71609321,PG,104,5.3,18817,1990
22000000,Columbia Pictures Industries,USA,Comedy,37963281,R,101,6.7,12832,1990
0,TriStar Pictures,USA,Comedy,21460601,PG,102,6.5,16570,1990
0,New Line Cinema,USA,Comedy,4134992,R,100,5.6,2613,1990
0,Touchstone Pictures,France,Comedy,29888235,PG-13,103,6.2,19613,1990
10000000,Universal Pictures,USA,Drama,16153600,R,129,6.6,8969,1990
23000000,Metro-Goldwyn-Mayer (MGM),USA,Drama,5820015,PG-13,104,6.3,5877,1990
0,Universal Pictures,USA,Drama,17037887,R,92,5.3,4004,1990
0,TriStar Pictures,USA,Drama,15740796,PG,128,7.3,5052,1990
0,Universal Pictures,USA,Comedy,24707633,PG,83,4.3,6587,1990
0,Touchstone Pictures,USA,Comedy,25029569,PG,81,5.4,7766,1990
15000000,TriStar Pictures,USA,Action,5585154,R,94,4.8,3785,1990
0,New Line Cinema,USA,Comedy,1382259,R,100,6.1,893,1990
0,Touchstone Pictures,USA,Comedy,19740070,R,94,5.6,2976,1990
0,Castle Rock Entertainment,USA,Comedy,17854930,PG-13,87,5.4,2115,1990
0,Walt Disney Pictures,USA,Drama,847306,R,138,6.7,2198,1990
0,Touchstone Pictures,USA,Comedy,1106475,R,107,6.2,1333,1990
10000000,Walt Disney Pictures,USA,Action,2346150,R,96,5.7,1508,1990
0,Warner Bros.,USA,Crime,2544504,R,109,5.7,969,1990
0,Walt Disney Pictures,USA,Drama,1224605,R,100,5.4,604,1990
25000000,Walt Disney Pictures,USA,Animation,218967620,G,84,8,344844,1991
6500000,Columbia Pictures Industries,USA,Crime,57504069,R,112,7.8,102317,1991
30000000,Metro-Goldwyn-Mayer (MGM),USA,Comedy,113502000,PG-13,99,6.8,104334,1991
11000000,Universal Pictures,USA,Drama,82418501,PG-13,130,7.7,55887,1991
17000000,Columbia Pictures Industries,USA,Comedy,59847242,PG-13,102,6.8,60391,1991
48000000,Warner Bros.,USA,Action,165500000,PG-13,143,6.9,154125,1991
13000000,Universal Pictures,UK,Action,14960255,R,90,5,27550,1991
11000000,Columbia Pictures Industries,USA,Adventure,2807854,PG-13,102,5.1,15262,1991
40000000,Warner Bros.,France,Drama,70405498,R,189,8,121533,1991
35000000,Walt Disney Pictures,USA,Action,46704056,PG,108,6.4,45621,1991
0,Touchstone Pictures,USA,Comedy,89325780,PG,105,6.5,58569,1991
26000000,Walt Disney Pictures,USA,Action,69467617,PG-13,84,6.7,85058,1991
15000000,Universal Pictures,USA,Comedy,25104700,PG-13,93,4.6,17894,1991
35000000,Touchstone Pictures,USA,Comedy,63710000,PG,99,7,53791,1991
2500000,New Line Cinema,USA,Drama,6401336,R,104,7.1,40101,1991
27000000,Castle Rock Entertainment,USA,Comedy,124033791,PG-13,113,6.7,41443,1991
24000000,TriStar Pictures,USA,Comedy,41895491,R,137,7.6,67814,1991
19000000,Walt Disney Pictures,USA,Drama,101599005,R,99,6.2,40443,1991
6000000,Universal Pictures,USA,Comedy,24204154,R,102,6.3,25742,1991
0,Metro-Goldwyn-Mayer (MGM),USA,Drama,2853801,PG-13,99,7.4,12973,1991
10000000,TriStar Pictures,USA,Action,15073942,R,111,6.5,17063,1991
8500000,Warner Bros.,USA,Action,47624253,R,97,6.6,25867,1991
11000000,New Line Cinema,USA,Comedy,34872033,R,89,4.9,33582,1991
65000000,TriStar Pictures,USA,Action,17218080,R,100,5.8,45642,1991
0,Touchstone Pictures,USA,Comedy,14143280,PG,91,5.7,9139,1991
0,Universal Pictures,USA,Animation,22166041,G,75,6.5,18924,1991
30000000,TriStar Pictures,USA,Biography,49114016,R,136,6.8,22209,1991
30000000,Columbia Pictures Industries,USA,Drama,74787599,R,132,6.7,13391,1991
0,Walt Disney Pictures,USA,Drama,8750400,R,121,7.5,2927,1991
14000000,Universal Pictures,USA,Drama,32482682,R,132,6.5,14307,1991
0,Touchstone Pictures,USA,Thriller,28738096,PG-13,104,6.1,5305,1991
17000000,Metro-Goldwyn-Mayer (MGM),USA,Action,7241350,R,120,6.7,6699,1991
0,Warner Bros.,USA,Comedy,54830779,PG-13,104,6.1,27679,1991
14000000,Walt Disney Pictures,USA,Adventure,34793160,PG,107,6.7,16702,1991
0,Warner Bros.,USA,Action,7788597,PG-13,88,5.7,5551,1991
23000000,Universal Pictures,USA,Crime,20246790,R,104,5.9,7229,1991
0,Walt Disney Pictures,USA,Drama,7300000,G,88,7.2,4092,1991
0,New Line Cinema,USA,Action,6948859,PG,90,4.3,8055,1991
17000000,TriStar Pictures,USA,Comedy,2865916,R,100,5.3,2959,1991
0,Universal Pictures,USA,Comedy,34002045,PG,97,5.2,13317,1991
8000000,Columbia Pictures Industries,USA,Mystery,19018321,R,102,5.7,7239,1991
0,Universal Pictures,USA,Action,25895485,R,111,6.3,15517,1991
18000000,Metro-Goldwyn-Mayer (MGM),USA,Comedy,5546827,PG,96,5.7,6370,1991
7000000,Columbia Pictures Industries,USA,Drama,191125,R,127,7.1,7239,1991
0,Touchstone Pictures,USA,Drama,38120905,PG-13,122,6.9,4314,1991
17000000,Walt Disney Pictures,USA,Comedy,4603929,PG-13,107,6.4,10048,1991
48000000,Touchstone Pictures,USA,Crime,15965919,R,106,5.9,10085,1991
0,Walt Disney Pictures,USA,Comedy,21830957,PG-13,104,6.3,8491,1991
0,Walt Disney Pictures,USA,Crime,33243020,R,134,6.9,13271,1991
0,New Line Cinema,USA,Drama,1277401,R,100,6.4,4296,1991
0,Warner Bros.,USA,Drama,9480198,PG-13,105,6.5,6588,1991
0,Universal Pictures,UK,Crime,15429177,R,94,5.7,4042,1991
0,Warner Bros.,USA,Comedy,25682090,R,103,6.1,6905,1991
10000000,TriStar Pictures,USA,Adventure,8667684,PG,100,4.7,2380,1991
0,Castle Rock Entertainment,USA,Drama,8906823,PG,99,6.5,1474,1991
0,New Line Cinema,USA,Comedy,978775,R,89,5.2,425,1991
3000000,Touchstone Pictures,USA,Comedy,9563393,R,89,5.3,4158,1991
0,Warner Bros.,UK,Comedy,1000348,PG-13,119,6.8,1060,1991
28000000,Walt Disney Pictures,USA,Animation,217350219,G,90,8,287068,1992
80000000,Warner Bros.,USA,Action,162831698,PG-13,126,7,232027,1992
14400000,Warner Bros.,USA,Drama,101157447,R,131,8.2,304536,1992
40000000,Columbia Pictures Industries,USA,Drama,141340178,R,138,7.7,196002,1992
10000000,New Line Cinema,USA,Drama,4160851,R,135,7.2,67092,1992
50000000,Walt Disney Pictures,USA,Action,55473600,R,114,6.4,231709,1992
31000000,Touchstone Pictures,USA,Comedy,139610000,PG,100,6.3,70833,1992
40000000,Columbia Pictures Industries,USA,Comedy,107533928,PG,128,7.2,77047,1992
55000000,Universal Pictures,USA,Comedy,58422650,PG-13,104,6.5,85470,1992
31000000,Universal Pictures,USA,Drama,63895607,R,156,8,209862,1992
18000000,Walt Disney Pictures,USA,Adventure,173585516,PG,120,6.6,226766,1992
35000000,Warner Bros.,France,Action,83363139,R,103,6.5,65431,1992
0,Metro-Goldwyn-Mayer (MGM),USA,Drama,5101632,PG-13,115,7.5,34253,1992
24000000,Touchstone Pictures,USA,Adventure,22518097,PG-13,90,5.7,17877,1992
15000000,Columbia Pictures Industries,USA,Horror,30524763,R,91,5.2,16241,1992
0,Universal Pictures,USA,Comedy,57114049,PG,87,5.6,54142,1992
7000000,Walt Disney Pictures,USA,Action,16624456,PG-13,86,5.6,34181,1992
0,Warner Bros.,USA,Comedy,18472850,PG-13,99,6.7,24175,1992
0,Walt Disney Pictures,USA,Comedy,76253806,R,115,6.7,62938,1992
35000000,Warner Bros.,USA,Action,144731527,R,118,6.7,136206,1992
3000000,New Line Cinema,USA,Drama,1829804,R,88,5.4,14751,1992
16000000,Columbia Pictures Industries,USA,Drama,47922919,R,107,6.3,25871,1992
6500000,Touchstone Pictures,USA,Action,29000301,PG,84,5.2,17402,1992
35000000,Universal Pictures,USA,Comedy,51433000,PG-13,126,7.1,46109,1992
35000000,Walt Disney Pictures,USA,Biography,24276500,R,140,6.6,18198,1992
15000000,Warner Bros.,USA,Action,44065653,R,84,5.8,39076,1992
7000,Columbia Pictures Industries,USA,Action,2040920,R,81,6.9,55226,1992
0,Warner Bros.,USA,Action,4972818,R,112,6.2,7833,1992
0,Warner Bros.,USA,Drama,55956200,PG,102,6.3,38863,1992
0,Metro-Goldwyn-Mayer (MGM),USA,Drama,25105517,PG,101,6.9,16022,1992
35000000,Columbia Pictures Industries,USA,Drama,4651977,PG-13,114,6.9,10947,1992
0,Warner Bros.,USA,Drama,15164458,PG,112,6.9,3075,1992
30000000,Universal Pictures,USA,Drama,7286388,PG-13,129,7.2,17514,1992
10000000,Walt Disney Pictures,USA,Action,14356479,R,95,6.3,6784,1992
12000000,Touchstone Pictures,USA,Comedy,2280148,PG-13,101,7.5,8745,1992
42000000,Columbia Pictures Industries,USA,Comedy,19507345,PG-13,119,6.5,18627,1992
15000000,TriStar Pictures,USA,Crime,22660758,R,119,6.8,12056,1992
25000000,Castle Rock Entertainment,USA,Comedy,35208854,PG-13,96,5.8,15079,1992
12000000,Walt Disney Pictures,USA,Comedy,27281507,G,85,7.7,37054,1992
0,Universal Pictures,USA,Biography,17530973,PG,100,5.9,8040,1992
14000000,Universal Pictures,USA,Action,13747138,R,101,6.2,8433,1992
20000000,TriStar Pictures,USA,Comedy,10555619,R,103,7.6,23108,1992
0,Columbia Pictures Industries,USA,Action,9223441,R,101,6.4,7094,1992
40000000,Warner Bros.,USA,Comedy,14358033,PG-13,99,5.9,18652,1992
15000000,Columbia Pictures Industries,USA,Action,40227000,R,89,5.4,5876,1992
7500000,Warner Bros.,USA,Comedy,13272113,PG-13,98,6,4351,1992
32000000,Warner Bros.,USA,Drama,28590665,R,124,5.8,11503,1992
0,Walt Disney Pictures,USA,Drama,21733781,R,132,6.4,7877,1992
17000000,Metro-Goldwyn-Mayer (MGM),USA,Drama,4836637,R,98,7,6006,1992
0,New Line Cinema,USA,Comedy,271327,PG,96,6.5,1493,1992
0,Walt Disney Pictures,USA,Drama,2922094,PG-13,100,6,929,1992
43000000,Castle Rock Entertainment,USA,Comedy,13351357,R,119,5.8,3990,1992
0,Universal Pictures,USA,Crime,3067917,R,99,6.5,2773,1992
0,Castle Rock Entertainment,USA,Action,2791515,PG-13,91,5.8,1207,1992
18000000,Metro-Goldwyn-Mayer (MGM),USA,Drama,2149735,PG-13,100,6.3,689,1992
